iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge
1,0.109,131072,109370,0,,,,,,4.83,-0.0023,0.0372,0.0059,0.032,0.0,1.0,0.403,1.0,0.0,0.437,0.538,0.0,1.0,0.169
2,0.13,262144,109005,4,3.75,0.0,6.25,,,4.819,-0.0017,0.0485,0.0039,0.023,,,,,,,,,,
3,0.154,393216,88795,31,5.54,0.0,6.71,,,4.803,-0.0017,0.1046,0.0039,0.021,,,,,,,,,,
4,0.17,524288,140638,57,7.62,0.0,7.04,,,4.793,-0.0018,0.1582,0.0043,0.026,,,,,,,,,,
5,0.184,655360,153413,96,9.53,0.01,7.65,,,4.773,-0.0021,0.2225,0.0049,0.034,,,,,,,,,,
6,0.198,786432,150118,104,11.31,0.0,7.58,,,4.762,-0.0018,0.2369,0.0044,0.029,,,,,,,,,,
7,0.213,917504,147994,88,12.99,0.0,7.43,,,4.75,-0.0016,0.2071,0.004,0.025,,,,,,,,,,
8,0.23,1048576,129142,109,13.28,0.0,7.68,,,4.731,-0.0016,0.2364,0.0042,0.026,,,,,,,,,,
9,0.247,1179648,130386,90,13.34,0.0,7.62,,,4.73,-0.0015,0.2093,0.0039,0.023,,,,,,,,,,
10,0.266,1310720,114098,103,12.06,0.0,7.59,,,4.725,-0.0016,0.2361,0.0039,0.027,,,,,,,,,,
11,0.29,1441792,92935,115,10.94,0.0,7.25,0.421,0.579,4.719,-0.0015,0.236,0.0037,0.023,,,,,,,,,,
12,0.312,1572864,98844,102,11.33,0.0,7.57,0.263,0.737,4.72,-0.0018,0.239,0.0049,0.027,,,,,,,,,,
13,0.339,1703936,79459,121,10.74,0.0,7.48,0.481,0.519,4.727,-0.0018,0.2466,0.004,0.028,,,,,,,,,,
14,0.359,1835008,113313,114,10.13,0.0,7.07,0.444,0.556,4.712,-0.0017,0.2259,0.0036,0.024,,,,,,,,,,
15,0.446,1966080,111044,88,10.07,0.0,7.17,0.353,0.647,4.705,-0.0016,0.1922,0.0043,0.025,0.555,0.445,0.392,1.0,0.0,0.721,0.603,0.0,1.0,0.243
16,0.48,2097152,64649,97,9.98,0.01,7.05,0.722,0.222,4.708,-0.0018,0.2102,0.0044,0.029,,,,,,,,,,
17,0.513,2228224,65485,117,10.44,0.0,7.13,0.704,0.296,4.706,-0.0022,0.2366,0.0045,0.035,,,,,,,,,,
18,0.545,2359296,68383,112,10.33,0.0,7.08,0.684,0.316,4.709,-0.0022,0.2016,0.0039,0.035,,,,,,,,,,
19,0.565,2490368,108549,97,10.29,0.0,6.82,0.632,0.368,4.7,-0.0017,0.189,0.004,0.028,,,,,,,,,,
20,0.585,2621440,108607,116,10.32,0.009,6.89,0.778,0.167,4.69,-0.0018,0.2221,0.0045,0.031,,,,,,,,,,
21,0.606,2752512,104672,102,9.51,0.0,6.98,0.882,0.118,4.695,-0.0022,0.207,0.0044,0.031,,,,,,,,,,
22,0.626,2883584,110776,114,10.06,0.0,7.35,0.8,0.2,4.696,-0.0018,0.2241,0.0038,0.03,,,,,,,,,,
23,0.646,3014656,109700,87,9.59,0.0,7.05,0.895,0.105,4.701,-0.002,0.1909,0.0044,0.039,,,,,,,,,,
24,0.666,3145728,108957,93,9.95,0.0,6.98,0.75,0.25,4.694,-0.0021,0.1784,0.0036,0.032,,,,,,,,,,
25,0.685,3276800,114591,87,10.51,0.011,7.02,0.864,0.136,4.688,-0.0024,0.1665,0.0054,0.047,,,,,,,,,,
26,0.705,3407872,111205,80,10.52,0.0,7.05,0.733,0.267,4.677,-0.0021,0.1729,0.0042,0.036,,,,,,,,,,
27,0.725,3538944,105313,87,10.86,0.0,6.95,0.8,0.2,4.667,-0.0024,0.164,0.0053,0.05,,,,,,,,,,
28,0.747,3670016,103405,84,11.63,0.012,6.96,0.857,0.143,4.659,-0.002,0.168,0.0041,0.035,,,,,,,,,,
29,0.779,3801088,67236,86,12.31,0.0,6.78,0.857,0.143,4.64,-0.0028,0.1562,0.0048,0.041,,,,,,,,,,
30,1.046,3932160,64522,79,10.48,0.0,6.91,0.81,0.19,4.631,-0.0026,0.1391,0.0054,0.046,0.95,0.005,0.649,0.995,0.0,0.833,0.706,0.0,1.0,0.369
31,1.071,4063232,88462,56,12.54,0.0,7.12,0.778,0.222,4.614,-0.0025,0.1189,0.0058,0.048,,,,,,,,,,
32,1.106,4194304,61666,59,11.84,0.0,6.97,0.875,0.125,4.582,-0.0025,0.1212,0.0046,0.047,,,,,,,,,,
33,1.139,4325376,67195,53,13.43,0.0,7.21,0.909,0.091,4.567,-0.002,0.1104,0.0047,0.041,,,,,,,,,,
34,1.172,4456448,66433,51,12.92,0.0,7.27,0.789,0.211,4.552,-0.0023,0.1219,0.0042,0.034,,,,,,,,,,
35,1.206,4587520,63468,54,15.52,0.0,6.96,0.938,0.062,4.54,-0.0022,0.1131,0.0047,0.039,,,,,,,,,,
36,1.236,4718592,72984,62,15.66,0.0,7.19,0.875,0.125,4.515,-0.0024,0.1162,0.0052,0.047,,,,,,,,,,
37,1.261,4849664,89082,52,14.43,0.0,6.73,0.737,0.263,4.505,-0.0022,0.1184,0.0042,0.038,,,,,,,,,,
38,1.284,4980736,94538,51,15.67,0.039,7.22,0.857,0.143,4.486,-0.0018,0.1168,0.0051,0.047,,,,,,,,,,
39,1.303,5111808,113895,52,15.43,0.0,7.23,0.727,0.273,4.469,-0.0023,0.1219,0.0049,0.042,,,,,,,,,,
40,1.322,5242880,115943,62,15.98,0.0,7.13,0.944,0.056,4.458,-0.0024,0.1175,0.0045,0.04,,,,,,,,,,
41,1.352,5373952,71505,51,16.9,0.059,7.37,0.938,0.062,4.431,-0.0023,0.1051,0.0045,0.042,,,,,,,,,,
42,1.371,5505024,116951,61,16.5,0.066,6.74,0.625,0.375,4.413,-0.0021,0.1202,0.004,0.039,,,,,,,,,,
43,1.389,5636096,118327,59,18.25,0.068,7.05,0.8,0.2,4.402,-0.0022,0.1432,0.0047,0.04,,,,,,,,,,
44,1.409,5767168,109863,69,17.64,0.072,7.07,0.857,0.143,4.393,-0.002,0.1668,0.0046,0.04,,,,,,,,,,
45,1.643,5898240,118781,92,17.58,0.065,6.99,1.0,0.0,4.365,-0.0021,0.152,0.0047,0.045,0.925,0.07,0.657,0.985,0.0,0.638,0.7,0.005,0.995,0.467
46,1.662,6029312,116611,92,19.37,0.065,7.09,0.889,0.056,4.319,-0.0024,0.1814,0.0049,0.04,,,,,,,,,,
47,1.681,6160384,117525,117,19.01,0.06,7.31,0.893,0.107,4.295,-0.0022,0.2285,0.0047,0.044,,,,,,,,,,
48,1.706,6291456,87356,94,15.83,0.074,6.95,0.958,0.042,4.249,-0.0025,0.2137,0.0044,0.041,,,,,,,,,,
49,1.725,6422528,111935,105,15.52,0.038,7.04,0.923,0.077,4.186,-0.003,0.2341,0.0053,0.054,,,,,,,,,,
50,1.745,6553600,109242,96,14.67,0.042,7.4,0.957,0.043,4.155,-0.0029,0.2743,0.0052,0.047,,,,,,,,,,
51,1.77,6684672,88634,100,12.08,0.02,7.11,1.0,0.0,4.119,-0.0026,0.2789,0.0054,0.052,,,,,,,,,,
52,1.803,6815744,65910,84,12.4,0.036,7.43,0.944,0.056,4.103,-0.0026,0.2398,0.0048,0.047,,,,,,,,,,
53,1.836,6946816,65821,102,12.4,0.02,7.32,0.963,0.037,4.095,-0.0022,0.2314,0.0047,0.047,,,,,,,,,,
54,1.87,7077888,65490,67,12.39,0.015,7.3,0.947,0.053,4.084,-0.0019,0.1745,0.0046,0.04,,,,,,,,,,
55,1.9,7208960,71255,72,12.41,0.0,7.03,0.789,0.211,4.049,-0.0024,0.1744,0.0045,0.042,,,,,,,,,,
56,1.92,7340032,111740,76,12.47,0.0,7.05,0.941,0.059,4.035,-0.0021,0.201,0.0048,0.044,,,,,,,,,,
57,1.939,7471104,117007,77,13.12,0.013,7.22,0.92,0.08,4.017,-0.0024,0.173,0.0043,0.041,,,,,,,,,,
58,1.959,7602176,105537,82,12.67,0.012,7.2,1.0,0.0,3.983,-0.0021,0.1578,0.0044,0.043,,,,,,,,,,
59,1.978,7733248,116464,53,13.69,0.0,7.57,0.667,0.333,3.99,-0.0017,0.1538,0.0043,0.037,,,,,,,,,,
60,2.055,7864320,115865,76,13.28,0.0,7.41,0.846,0.154,3.975,-0.0018,0.1671,0.0041,0.036,0.745,0.24,0.575,1.0,0.0,0.769,0.618,0.03,0.97,0.414
61,2.074,7995392,118461,77,15.62,0.0,7.53,1.0,0.0,3.966,-0.0017,0.1799,0.0045,0.041,,,,,,,,,,
62,2.094,8126464,106126,64,14.66,0.0,7.19,0.889,0.111,3.957,-0.0018,0.1585,0.0048,0.041,,,,,,,,,,
63,2.119,8257536,86216,86,14.08,0.0,7.09,0.939,0.061,3.925,-0.0019,0.172,0.005,0.038,,,,,,,,,,
64,2.153,8388608,65959,67,16.53,0.0,7.64,0.833,0.167,3.926,-0.0016,0.1784,0.0038,0.033,,,,,,,,,,
65,2.186,8519680,66130,77,14.06,0.0,7.53,0.944,0.056,3.908,-0.0013,0.1964,0.0045,0.037,,,,,,,,,,
66,2.206,8650752,107003,76,14.65,0.0,7.5,0.947,0.053,3.924,-0.0018,0.1913,0.0043,0.041,,,,,,,,,,
67,2.226,8781824,109906,86,15.63,0.0,7.29,0.885,0.115,3.912,-0.0016,0.186,0.0044,0.042,,,,,,,,,,
68,2.246,8912896,106653,63,14.13,0.0,7.52,0.8,0.2,3.929,-0.0016,0.1756,0.0044,0.041,,,,,,,,,,
69,2.267,9043968,106550,67,14.27,0.0,7.31,0.905,0.095,3.911,-0.0015,0.1736,0.0046,0.04,,,,,,,,,,
70,2.298,9175040,71300,70,14.84,0.0,7.59,0.909,0.091,3.891,-0.0014,0.172,0.0043,0.035,,,,,,,,,,
71,2.318,9306112,108377,66,13.8,0.015,7.26,0.9,0.1,3.898,-0.0016,0.1768,0.0043,0.045,,,,,,,,,,
72,2.338,9437184,110538,66,15.92,0.015,7.39,0.944,0.056,3.896,-0.0022,0.1554,0.0042,0.045,,,,,,,,,,
73,2.357,9568256,114439,74,15.43,0.0,7.68,0.95,0.05,3.903,-0.0016,0.1644,0.005,0.045,,,,,,,,,,
74,2.376,9699328,112985,46,17.34,0.022,7.87,0.857,0.143,3.913,-0.0015,0.1332,0.0041,0.039,,,,,,,,,,
75,2.471,9830400,108651,51,16.81,0.0,7.75,0.923,0.077,3.909,-0.0016,0.1399,0.0046,0.041,0.965,0.035,0.753,1.0,0.0,0.76,0.705,0.02,0.98,0.419
76,2.499,9961472,78930,65,15.86,0.0,7.55,0.955,0.045,3.935,-0.0017,0.1514,0.0051,0.055,,,,,,,,,,
77,2.519,10092544,109140,58,18.98,0.017,7.72,0.625,0.375,3.963,-0.0019,0.1343,0.0048,0.046,,,,,,,,,,
78,2.538,10223616,113109,46,17.48,0.022,7.24,0.929,0.071,3.969,-0.0018,0.1097,0.0045,0.046,,,,,,,,,,
79,2.558,10354688,108171,42,19.18,0.048,7.33,0.857,0.143,3.987,-0.0015,0.1027,0.0045,0.038,,,,,,,,,,
80,2.579,10485760,105781,36,17.83,0.028,7.53,0.812,0.188,3.994,-0.0018,0.0907,0.0051,0.046,,,,,,,,,,
81,2.599,10616832,108534,50,18.23,0.04,7.26,0.769,0.231,4.012,-0.0013,0.106,0.0053,0.046,,,,,,,,,,
82,2.619,10747904,108104,53,20.74,0.038,7.6,0.6,0.4,4.033,-0.0014,0.1235,0.0052,0.055,,,,,,,,,,
83,2.639,10878976,109863,36,20.49,0.028,7.47,1.0,0.0,4.04,-0.0019,0.0932,0.005,0.05,,,,,,,,,,
84,2.666,11010048,80932,31,21.57,0.065,7.26,0.667,0.167,4.051,-0.0018,0.078,0.0051,0.047,,,,,,,,,,
85,2.685,11141120,116337,46,20.74,0.022,7.17,0.9,0.1,4.031,-0.0016,0.1073,0.0047,0.051,,,,,,,,,,
86,2.704,11272192,116481,33,21.76,0.0,7.48,0.857,0.143,4.051,-0.0017,0.0838,0.0046,0.041,,,,,,,,,,
87,2.725,11403264,104262,38,23.64,0.158,6.84,1.0,0.0,4.056,-0.0017,0.0803,0.0049,0.045,,,,,,,,,,
