iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
1,1.419,131072,69841,0,,,,,,2.956,-0.0,0.0158,0.0,0.0,0.87,0.025,0.863,,,,0.773,0.805,0.15,0.775,0.44,0.465,0.788
2,1.446,262144,81766,93,3.64,0.022,8.66,,,2.863,0.0,0.2607,-0.0,0.0,,,,,,,,,,,,,
3,1.473,393216,80495,113,5.2,0.035,8.61,,,2.866,-0.0,0.266,0.0,0.0,,,,,,,,,,,,,
4,1.5,524288,80965,73,5.98,0.014,8.49,,,2.863,-0.0,0.2018,-0.0,0.0,,,,,,,,,,,,,
5,1.527,655360,81286,87,6.96,0.0,8.61,,,2.841,-0.0,0.2328,-0.0,0.0,,,,,,,,,,,,,
6,1.556,786432,76404,67,8.17,0.015,8.52,,,2.839,-0.0032,0.1774,0.0071,0.088,,,,,,,,,,,,,
7,1.584,917504,76658,83,8.43,0.024,8.39,,,2.84,-0.003,0.1947,0.0066,0.077,,,,,,,,,,,,,
8,1.613,1048576,75719,58,8.84,0.0,8.59,,,2.839,-0.0027,0.1521,0.0064,0.07,,,,,,,,,,,,,
9,1.642,1179648,76173,69,9.27,0.014,8.42,,,2.864,-0.0024,0.1729,0.006,0.075,,,,,,,,,,,,,
10,1.67,1310720,76171,78,11.2,0.013,8.37,,,2.839,-0.0026,0.1984,0.0067,0.072,,,,,,,,,,,,,
11,1.703,1441792,66334,84,10.24,0.012,8.63,0.444,0.556,2.84,-0.0025,0.2136,0.0061,0.071,,,,,,,,,,,,,
12,1.736,1572864,66787,73,10.81,0.0,8.4,0.429,0.571,2.861,-0.0025,0.1742,0.0059,0.069,,,,,,,,,,,,,
13,1.769,1703936,66557,57,11.52,0.018,8.42,0.778,0.222,2.87,-0.0022,0.1545,0.0062,0.068,,,,,,,,,,,,,
14,1.801,1835008,67156,71,12.24,0.0,8.38,0.714,0.286,2.856,-0.0024,0.1752,0.0067,0.073,,,,,,,,,,,,,
15,1.834,1966080,67438,67,11.91,0.015,8.7,0.706,0.294,2.868,-0.003,0.1758,0.006,0.065,,,,,,,,,,,,,
16,1.867,2097152,66528,56,12.2,0.0,8.41,0.462,0.538,2.872,-0.0028,0.1541,0.0055,0.064,,,,,,,,,,,,,
17,1.904,2228224,58369,82,12.77,0.0,8.48,0.65,0.35,2.854,-0.0029,0.1848,0.0067,0.071,,,,,,,,,,,,,
18,1.937,2359296,66350,67,15.69,0.015,8.34,0.588,0.412,2.856,-0.0031,0.1659,0.006,0.065,,,,,,,,,,,,,
19,1.969,2490368,67158,60,13.97,0.0,8.65,0.556,0.444,2.861,-0.0025,0.1619,0.0063,0.076,,,,,,,,,,,,,
20,2.002,2621440,66635,78,14.21,0.051,8.53,0.6,0.4,2.852,-0.0025,0.1798,0.0066,0.07,,,,,,,,,,,,,
21,2.035,2752512,66410,79,15.15,0.013,8.58,0.476,0.476,2.881,-0.0024,0.1809,0.0068,0.078,,,,,,,,,,,,,
22,2.069,2883584,65079,64,13.1,0.0,8.36,0.75,0.25,2.888,-0.0026,0.1707,0.0064,0.073,,,,,,,,,,,,,
23,2.102,3014656,65242,76,13.56,0.066,8.5,0.615,0.385,2.868,-0.003,0.1806,0.0063,0.067,,,,,,,,,,,,,
24,2.135,3145728,65919,68,12.02,0.044,8.65,0.588,0.353,2.876,-0.0029,0.1517,0.0059,0.07,,,,,,,,,,,,,
25,2.171,3276800,60844,63,16.03,0.016,8.46,0.75,0.25,2.87,-0.0024,0.1472,0.0067,0.071,,,,,,,,,,,,,
26,2.205,3407872,65322,63,14.61,0.048,8.46,0.733,0.2,2.867,-0.0027,0.1534,0.0059,0.067,,,,,,,,,,,,,
27,2.237,3538944,68646,57,15.57,0.018,8.51,0.364,0.545,2.84,-0.0024,0.1438,0.0059,0.068,,,,,,,,,,,,,
28,2.268,3670016,68703,69,12.87,0.0,8.57,0.615,0.385,2.851,-0.0023,0.1723,0.006,0.062,,,,,,,,,,,,,
29,2.303,3801088,63560,92,30.08,0.359,5.97,0.263,0.368,2.864,-0.0026,0.1521,0.0067,0.073,,,,,,,,,,,,,
30,2.34,3932160,58104,59,17.69,0.085,7.75,0.333,0.444,2.824,-0.0026,0.1415,0.006,0.065,,,,,,,,,,,,,
31,2.377,4063232,60055,70,17.45,0.143,8.0,0.444,0.333,2.808,-0.0028,0.1499,0.0061,0.071,,,,,,,,,,,,,
32,2.409,4194304,67668,69,19.61,0.116,7.65,0.588,0.412,2.824,-0.0027,0.1462,0.0068,0.075,,,,,,,,,,,,,
33,2.441,4325376,68244,65,17.18,0.092,8.12,0.583,0.417,2.84,-0.0023,0.1509,0.0063,0.065,,,,,,,,,,,,,
34,2.474,4456448,66720,71,17.11,0.099,7.89,0.688,0.188,2.831,-0.0024,0.1395,0.006,0.071,,,,,,,,,,,,,
35,2.506,4587520,68777,73,16.8,0.096,7.9,0.455,0.5,2.823,-0.0029,0.1326,0.0058,0.071,,,,,,,,,,,,,
36,2.538,4718592,67141,55,15.84,0.036,8.02,0.5,0.5,2.801,-0.0029,0.1393,0.0059,0.065,,,,,,,,,,,,,
37,2.571,4849664,66882,65,17.26,0.031,8.14,0.364,0.455,2.816,-0.0025,0.1411,0.0057,0.065,,,,,,,,,,,,,
38,2.612,4980736,53617,57,17.03,0.088,8.12,0.5,0.5,2.827,-0.0025,0.1227,0.0064,0.072,,,,,,,,,,,,,
39,2.647,5111808,61994,49,17.7,0.102,8.33,0.6,0.3,2.805,-0.0021,0.1184,0.0057,0.059,,,,,,,,,,,,,
40,2.681,5242880,64714,59,16.71,0.034,8.1,0.75,0.25,2.801,-0.0023,0.1243,0.0056,0.063,,,,,,,,,,,,,
41,2.714,5373952,65816,50,16.56,0.06,8.1,0.727,0.182,2.818,-0.0024,0.0973,0.0066,0.067,,,,,,,,,,,,,
42,2.747,5505024,65761,46,18.78,0.065,8.22,0.875,0.125,2.819,-0.0023,0.1108,0.0069,0.079,,,,,,,,,,,,,
43,2.781,5636096,64832,55,18.25,0.073,8.44,0.7,0.3,2.853,-0.0021,0.1217,0.0058,0.067,,,,,,,,,,,,,
44,2.813,5767168,67437,52,18.92,0.135,8.02,0.588,0.353,2.857,-0.0025,0.1017,0.0064,0.069,,,,,,,,,,,,,
45,2.847,5898240,65279,67,20.01,0.104,7.87,0.786,0.143,2.841,-0.0027,0.1506,0.0062,0.073,,,,,,,,,,,,,
46,2.882,6029312,62498,41,22.52,0.171,7.49,0.6,0.1,2.833,-0.0024,0.0814,0.0065,0.077,,,,,,,,,,,,,
47,2.92,6160384,56625,32,16.6,0.062,8.16,0.333,0.667,2.808,-0.003,0.0852,0.0059,0.068,,,,,,,,,,,,,
48,2.957,6291456,58642,47,22.41,0.128,7.62,0.562,0.375,2.82,-0.0027,0.0856,0.0063,0.066,,,,,,,,,,,,,
49,2.991,6422528,65202,51,23.59,0.098,7.65,0.706,0.235,2.823,-0.0026,0.0905,0.0061,0.07,,,,,,,,,,,,,
50,4.203,6553600,65815,25,22.02,0.08,7.8,0.5,0.5,2.829,-0.0027,0.0753,0.0067,0.068,0.96,0.0,0.735,,,,0.737,0.905,0.03,0.795,0.73,0.165,0.889
51,4.238,6684672,61255,39,23.67,0.103,7.85,0.429,0.429,2.818,-0.0026,0.0865,0.0058,0.067,,,,,,,,,,,,,
52,4.271,6815744,65839,51,21.48,0.078,7.9,0.643,0.286,2.817,-0.0032,0.0905,0.0059,0.065,,,,,,,,,,,,,
53,4.304,6946816,66216,37,24.01,0.108,7.78,0.7,0.2,2.809,-0.0025,0.0803,0.0062,0.072,,,,,,,,,,,,,
54,4.338,7077888,64428,47,24.39,0.043,7.49,0.786,0.143,2.811,-0.003,0.0808,0.0062,0.069,,,,,,,,,,,,,
55,4.372,7208960,64949,45,23.29,0.067,7.8,0.4,0.5,2.826,-0.0028,0.089,0.0062,0.071,,,,,,,,,,,,,
56,4.404,7340032,67453,39,28.31,0.154,7.26,0.6,0.267,2.818,-0.0028,0.0867,0.0062,0.068,,,,,,,,,,,,,
57,4.437,7471104,66513,44,21.11,0.023,8.41,0.692,0.308,2.812,-0.0026,0.0895,0.0059,0.065,,,,,,,,,,,,,
58,4.473,7602176,60921,43,26.32,0.07,7.79,0.714,0.286,2.807,-0.0024,0.0954,0.0062,0.067,,,,,,,,,,,,,
59,4.508,7733248,62006,46,28.89,0.13,7.52,0.667,0.333,2.8,-0.0022,0.0925,0.0066,0.081,,,,,,,,,,,,,
60,4.541,7864320,66044,57,25.7,0.053,7.79,0.438,0.562,2.811,-0.003,0.1011,0.0061,0.068,,,,,,,,,,,,,
61,4.574,7995392,67298,50,23.18,0.1,7.72,0.714,0.143,2.781,-0.003,0.114,0.0059,0.069,,,,,,,,,,,,,
62,4.607,8126464,65747,53,22.06,0.038,7.45,0.933,0.067,2.772,-0.0025,0.0902,0.0063,0.069,,,,,,,,,,,,,
63,4.64,8257536,66929,51,25.75,0.137,7.8,0.75,0.083,2.79,-0.0025,0.1114,0.0069,0.08,,,,,,,,,,,,,
64,4.672,8388608,68588,47,28.93,0.106,7.43,0.556,0.333,2.772,-0.0027,0.09,0.0056,0.056,,,,,,,,,,,,,
65,4.705,8519680,64954,42,27.4,0.119,7.43,0.5,0.5,2.763,-0.003,0.0962,0.0066,0.074,,,,,,,,,,,,,
66,4.739,8650752,64334,48,21.51,0.083,7.94,0.889,0.111,2.788,-0.0029,0.1092,0.0062,0.07,,,,,,,,,,,,,
67,4.774,8781824,62686,50,23.2,0.1,7.84,0.636,0.364,2.788,-0.0027,0.1033,0.0053,0.062,,,,,,,,,,,,,
68,4.81,8912896,60579,46,19.79,0.022,7.89,0.714,0.286,2.787,-0.003,0.1053,0.0054,0.063,,,,,,,,,,,,,
69,4.842,9043968,68265,47,21.34,0.043,7.72,0.462,0.462,2.758,-0.0027,0.0997,0.006,0.068,,,,,,,,,,,,,
70,4.874,9175040,68941,45,24.08,0.133,7.69,0.333,0.556,2.771,-0.003,0.081,0.0062,0.067,,,,,,,,,,,,,
71,4.906,9306112,68031,40,22.29,0.1,7.72,0.857,0.143,2.764,-0.0024,0.0931,0.0062,0.066,,,,,,,,,,,,,
72,4.939,9437184,66586,44,20.47,0.114,7.89,0.75,0.167,2.768,-0.0024,0.0936,0.0074,0.08,,,,,,,,,,,,,
73,4.97,9568256,69110,38,27.42,0.158,7.03,0.556,0.333,2.785,-0.003,0.0777,0.0064,0.077,,,,,,,,,,,,,
